0:00,Minuit,Minuit pile,Douze heures du soir,Minuit pile,Zéro heures
0:01,Minuit une,Minuit une minute
0:02,Minuit deux,Minuit deux minutes
0:03,Minuit trois,Minuit trois minutes
0:04,Minuit quatre,Minuit quatre minutes
0:05,Minuit cinq,Minuit cinq minutes
0:06,Minuit six,Minuit six minutes
0:07,Minuit sept,Minuit sept minutes
0:08,Minuit huit,Minuit huit minutes
0:09,Minuit neuf,Minuit neuf minutes
0:10,Minuit dix,Minuit dix minutes
0:11,Minuit onze ,Minuit onze minutes
0:12,Minuit douze ,Minuit douze minutes
0:13,Minuit treize ,Minuit treize minutes
0:14,Minuit quatorze ,Minuit quatorze minutes
0:15,Minuit quinze ,Minuit quinze minutes,Minuit et quart
0:16,Minuit seize ,Minuit seize minutes
0:17,Minuit dix-sept ,Minuit dix-sept minutes
0:18,Minuit dix-huit ,Minuit dix-huit minutes
0:19,Minuit dix-neuf ,Minuit dix-neuf minutes
0:20,Minuit vingt ,Minuit vingt minutes
0:21,Minuit vingt et une,Minuit vingt et une minutes
0:22,Minuit vingt deux,Minuit vingt deux minutes
0:23,Minuit vingt trois,Minuit vingt trois minutes
0:24,Minuit vingt quatre,Minuit vingt quatre minutes
0:25,Minuit vingt cinq,Minuit vingt cinq minutes
0:26,Minuit vingt six,Minuit vingt six minutes
0:27,Minuit vingt sept,Minuit vingt sept minutes
0:28,Minuit vingt huit,Minuit vingt huit minutes
0:29,Minuit vingt neuf,Minuit vingt neuf minutes
0:30,Minuit trente ,Minuit trente minutes,Minuit et demie
0:31,Minuit trente et une,Minuit trente et une minutes
0:32,Minuit trente deux,Minuit trente deux minutes
0:33,Minuit trente trois,Minuit trente trois minutes
0:34,Minuit trente quatre,Minuit trente quatre minutes
0:35,Minuit trente cinq,Minuit trente cinq minutes,Une heure moins vingt-cinq
0:36,Minuit trente six,Minuit trente six minutes
0:37,Minuit trente sept,Minuit trente sept minutes
0:38,Minuit trente huit,Minuit trente huit minutes
0:39,Minuit trente neuf,Minuit trente neuf minutes
0:40,Minuit quarante ,Minuit quarante minutes,Une heure moins vingt
0:41,Minuit quarante et une,Minuit quarante et une minutes
0:42,Minuit quarante deux,Minuit quarante deux minutes
0:43,Minuit quarante trois,Minuit quarante trois minutes
0:44,Minuit quarante quatre,Minuit quarante quatre minutes
0:45,Minuit quarante cinq,Minuit quarante cinq minutes,Une heure moins le quart
0:46,Minuit quarante six,Minuit quarante six minutes
0:47,Minuit quarante sept,Minuit quarante sept minutes
0:48,Minuit quarante huit,Minuit quarante huit minutes
0:49,Minuit quarante neuf,Minuit quarante neuf minutes
0:50,Minuit cinquante ,Minuit cinquante minutes,Une heure moins dix
0:51,Minuit cinquante et une,Minuit cinquante et une minutes,Une heure moins neuf
0:52,Minuit cinquante deux,Minuit cinquante deux minutes,Une heure moins huit
0:53,Minuit cinquante trois,Minuit cinquante trois minutes,Une heure moins sept
0:54,Minuit cinquante quatre,Minuit cinquante quatre minutes,Une heure moins six
0:55,Minuit cinquante cinq,Minuit cinquante cinq minutes,Une heure moins cinq
0:56,Minuit cinquante six,Minuit cinquante six minutes,Une heure moins quatre
0:57,Minuit cinquante sept,Minuit cinquante sept minutes,Une heure moins trois
0:58,Minuit cinquante huit,Minuit cinquante huit minutes,Une heure moins deux
0:59,Minuit cinquante neuf,Minuit cinquante neuf minutes,Une heure moins une
1:00,Une heure  ,Une heure,Une heure pile,Une heure du matin
1:01,Une heure une ,Une heure une minute
1:02,Une heure deux ,Une heure deux minutes
1:03,Une heure trois ,Une heure trois minutes
1:04,Une heure quatre ,Une heure quatre minutes
1:05,Une heure cinq ,Une heure cinq minutes
1:06,Une heure six ,Une heure six minutes
1:07,Une heure sept ,Une heure sept minutes
1:08,Une heure huit ,Une heure huit minutes
1:09,Une heure neuf ,Une heure neuf minutes
1:10,Une heure dix ,Une heure dix minutes
1:11,Une heure onze ,Une heure onze minutes
1:12,Une heure douze ,Une heure douze minutes
1:13,Une heure treize ,Une heure treize minutes
1:14,Une heure quatorze ,Une heure quatorze minutes
1:15,Une heure quinze ,Une heure quinze minutes,Une heure et quart
1:16,Une heure seize ,Une heure seize minutes
1:17,Une heure dix-sept ,Une heure dix-sept minutes
1:18,Une heure dix-huit ,Une heure dix-huit minutes
1:19,Une heure dix-neuf ,Une heure dix-neuf minutes
1:20,Une heure vingt ,Une heure vingt minutes
1:21,Une heure vingt et une,Une heure vingt et une minutes
1:22,Une heure vingt deux,Une heure vingt deux minutes
1:23,Une heure vingt trois,Une heure vingt trois minutes
